Epoch,Dice_Score,Accuracy,Precision,True_Positives,True_Negatives,False_Positives,False_Negatives
24,0.6763404525684726,0.9986303617369454,0.5721743771302625,777731.0,165258750.0,67385.0,160966.0
25,0.718948224175362,0.9985742449010693,0.5762590717219707,781531.0,165245594.0,80541.0,157166.0
26,0.671572677146082,0.9986188216779217,0.5977963471562607,789675.0,165244882.0,81253.0,149022.0
27,0.694291576911066,0.9986234221068568,0.5950916483998299,774239.0,165261085.0,65050.0,164458.0
28,0.7151812746492713,0.9986466461757444,0.5855558715151541,798570.0,165240626.0,85509.0,140127.0
29,0.7097458516249138,0.9986439830852005,0.5892725003028066,800305.0,165238447.0,87688.0,138392.0
30,0.7079069479806068,0.9986087451191068,0.5567366978469884,794223.0,165238654.0,87481.0,144474.0
31,0.6851705843639362,0.9986542935641307,0.5744484048688187,794628.0,165245843.0,80292.0,144069.0
32,0.6998189692286304,0.998584159515189,0.5878262100916989,769636.0,165259142.0,66993.0,169061.0
33,0.6873898399007937,0.9986460583764802,0.5757854779561361,801423.0,165237675.0,88460.0,137274.0
34,0.7201845431843211,0.9986274227406244,0.5803385624345744,800186.0,165235805.0,90330.0,138511.0
35,0.6993777675657646,0.9986072336352846,0.5827635364524973,791523.0,165241102.0,85033.0,147174.0
36,0.693951610226866,0.9986243517893665,0.6111170116273112,782739.0,165252740.0,73395.0,155958.0
37,0.696394648252286,0.9986260732014974,0.5837884155459374,783847.0,165251919.0,74216.0,154850.0
38,0.7141659420865709,0.9985570427756639,0.5978052453284368,801698.0,165222559.0,103576.0,136999.0
39,0.6928245977300096,0.9986179219851704,0.5849260124582915,791681.0,165242726.0,83409.0,147016.0
40,0.7154988064822716,0.9986373133629373,0.5902497870554714,801256.0,165236384.0,89751.0,137441.0
41,0.6856135789291687,0.9986005459191665,0.5639116663790349,808233.0,165223277.0,102858.0,130464.0
42,0.7024182381894805,0.9986075095410617,0.5829138774541939,800968.0,165231703.0,94432.0,137729.0
43,0.668784532212307,0.9986222824960385,0.5880158238300363,799107.0,165236027.0,90108.0,139590.0
44,0.6488929940101872,0.9986048824382279,0.5702521821612831,786140.0,165246093.0,80042.0,152557.0
45,0.6788431592757489,0.9986182098868508,0.5862300500226846,799144.0,165235311.0,90824.0,139553.0
46,0.682179087795072,0.9986343083891479,0.5558416402002551,815273.0,165221866.0,104269.0,123424.0
47,0.6748453258464518,0.9986388668324213,0.5771921255139623,799489.0,165238410.0,87725.0,139208.0
48,0.6925215450661107,0.9986596557329286,0.5671909478662899,798811.0,165242554.0,83581.0,139886.0
49,0.6720516199933503,0.9985767580428213,0.5559022815534903,816322.0,165211222.0,114913.0,122375.0
50,0.7046214605947608,0.9986102925906392,0.5771647861356255,787718.0,165245417.0,80718.0,150979.0
51,0.6752615223895828,0.9986255513797017,0.5792223773662399,793549.0,165242130.0,84005.0,145148.0
52,0.7034016879321585,0.9986218326496628,0.5948359926916519,790740.0,165244319.0,81816.0,147957.0
53,0.704644396528222,0.9985652239817493,0.5726641394057363,792262.0,165233359.0,92776.0,146435.0
54,0.7012407845330927,0.9986024232780408,0.5616539972570708,806395.0,165225428.0,100707.0,132302.0
55,0.6863437457271875,0.9986278485951934,0.5719753587208454,809367.0,165226695.0,99440.0,129330.0
56,0.7018378034955648,0.9986327429237606,0.5952871134446102,794994.0,165241884.0,84251.0,143703.0
57,0.6233455670625203,0.9985528502074428,0.5353918098053843,817056.0,165206502.0,119633.0,121641.0
58,0.7079383218749116,0.9986242378282847,0.6007325704555092,790018.0,165245442.0,80693.0,148679.0
59,0.61759698324014,0.9985925626454863,0.5342863128350684,821057.0,165209122.0,117013.0,117640.0
60,0.7028572457601783,0.9985890718376111,0.5778879453925967,810905.0,165218692.0,107443.0,127792.0
61,0.6533244650358422,0.9985989024804073,0.5493982035356263,815782.0,165215454.0,110681.0,122915.0
62,0.6708456004239509,0.9986110963161636,0.5706089564464377,800078.0,165233191.0,92944.0,138619.0
63,0.6948246286428414,0.9986306976222392,0.5701587634079112,807185.0,165229352.0,96783.0,131512.0
